feature,Correlation_1,Mutual Information_1,Permutation Importance_1,Tree-Based Importance_1,weight_1,Correlation_2,Mutual Information_2,Permutation Importance_2,Tree-Based Importance_2,weight_2,Correlation_4,Mutual Information_4,Permutation Importance_4,Tree-Based Importance_4,weight_4,Correlation_8,Mutual Information_8,Permutation Importance_8,Tree-Based Importance_8,weight_8,weighted_Correlation,weighted_Mutual Information,weighted_Permutation Importance,weighted_Tree-Based Importance
31,-0.0018562412943857,0.2403268345507543,0.0070754408075821,0.0130059753567257,0.1,0.0369800140556812,0.4728032159607833,-0.0019891632226541,0.0135669968493354,0.15,-0.0007502762860868,0.207040675160079,-0.002688232640558,0.0136743072058257,0.5,-0.0191174590687684,0.2361225131097093,0.0351368372738546,0.0130141857425562,0.25,0.00020687506867811054,0.25750413170665976,0.007849262595544746,0.013426347101624781
32,-0.0209360735496202,0.4124407061285846,-0.0013139879700901,0.0129162160767186,0.1,0.0042991530292835,0.0379085582228366,-0.0022940779436186,0.0133858718722136,0.15,0.0199482084586744,0.2278317203629658,0.0086161554081438,0.0133171008031954,0.5,-0.025401263359708,0.3470390566805212,0.0132306464575744,0.0126495197933776,0.25,0.002175053988840705,0.24760597869789713,0.0071402288299137005,0.013120432738446
33,0.0354176031204843,0.5413535019945668,0.0025996867969345,0.0128570463400637,0.1,0.0067889700504187,0.329419926413558,0.0037257324056818,0.0131549388016082,0.15,0.0061734635973626,0.4036295241550673,0.0004505465554727,0.0131059090091363,0.5,-0.0027645796273446,0.0093935913461438,-0.0034979509470226,0.0116921623055069,0.25,0.006955692711456385,0.30771149907556,0.00016961408152642006,0.012734940535192474
34,-0.0006273417264971,0.4858336129077654,0.0251278288708674,0.0127571058128706,0.1,0.0176592660906127,0.3515625659638646,0.0031190201073868,0.0130819342631396,0.15,0.0035163250795861,0.1923372700072478,0.0043003759227853,0.0127166935729668,0.5,-0.008168755390385,0.2668119532965676,0.0047173766997088,0.0113508445550835,0.25,0.0023021294331389947,0.264189369513122,0.00631016803951461,0.012434058646012274
35,0.005318122987072,0.2379149769897237,0.005284050854398,0.0122795225917038,0.1,-0.000520471547593,0.2943536707186256,-0.0029240440327646,0.0130185096109972,0.15,0.0037569940631555,0.2631456567133075,0.0028386566031712,0.0123060818932344,0.5,-0.0006456763530432,0.2436012917603838,0.011527019562754,0.0111241430114112,0.25,0.0021708195098852,0.2604176996035159,0.00439088167279921,0.01211480540028996
36,0.0114244185225167,0.3040222526406184,0.0047792194714694,0.0120696514131121,0.1,0.0159998569392664,0.3568460610027006,-0.0004424469736594,0.0129438634120081,0.15,-0.007989767538089,0.0551636907990698,-0.0008328692030928,0.0121243204024803,0.5,0.011761387948288,0.4558230650115247,0.0289110526295626,0.0109903552866403,0.25,0.0024878836111691303,0.225466746066883,0.00722288345694228,0.01195829367601265
37,0.0105790674850602,0.3844627257437363,0.0044618941110718,0.0110976647829658,0.1,0.0077660982552778,0.3018817299085237,0.0143780376291591,0.0121526854822041,0.15,0.0174064019768866,0.4092942731002305,0.0009672498318153,0.0119474232058154,0.5,0.0126076359423097,0.4690723745035106,0.1924139367432835,0.0106942092342635,0.25,0.014077931460818415,0.40564376223664506,0.05119000415720957,0.01157993321210077
38,0.0024178075016105,0.0397149709334447,0.0014894074425766,0.0110628387730858,0.1,0.0283864049717726,0.4949442071350782,0.0287676899169807,0.0119999753770027,0.15,-0.000832606781866,0.2773457328551005,0.0163647147101274,0.0113686833340286,0.5,0.0125561568615033,0.4705292701596164,0.0285585960986341,0.0105966524377407,0.25,0.007222477320369765,0.33451831213106054,0.01978610061152699,0.01123978496030846
39,0.0017139112068,0.3500681805359757,-0.0036842742362725,0.0108171705467295,0.1,0.0097982010694669,0.4065943515144496,-0.0008204852129689,0.0117466636189495,0.15,0.0191889317211214,0.4380667337667949,0.0032366581063137,0.0112183462293899,0.5,-0.0229178407614344,0.0661037375080448,-0.0006796365743586,0.0100831556187408,0.25,0.005506126951302135,0.3315552720411737,0.000956919703994615,0.010973678616895525
40,0.0344706431263069,0.5206579883779527,0.0045242222127608,0.0104755368276785,0.1,0.0067889700504187,0.329419926413558,-0.0032679260023377,0.0117422008393069,0.15,-0.0068924361001248,0.2436770451732366,0.0057575574317256,0.0108238956591043,0.5,-0.0070264299222483,0.0191949387395489,0.0016068668517526,0.0100478855147447,0.25,-0.0007374157104309803,0.22811604507133448,0.003242728749726375,0.01073280301690221
41,-0.0021793615041192,0.3801714873353568,0.0015109100283236,0.0101803455636405,0.1,0.0042991530292835,0.0384537887422951,-0.0017473435483263,0.0114773630500442,0.15,-0.0046654234738629,0.3294439226170729,0.0077757382878115,0.0107309166526927,0.5,0.0091611198363359,0.4156191473020749,0.0064704361563048,0.0098191376052026,0.25,0.0003845050261331302,0.3124119651789351,0.005394467653565365,0.01055988174151768
42,-0.024748314308352,0.3742347317112582,-0.0013452050755625,0.0101674072834605,0.1,-0.0021000406137865,0.0396312426038321,0.0056233248913672,0.0112670430305122,0.15,-0.0029275402902328,0.009607133703712,0.0043200847846939,0.0104280525281642,0.5,0.0052299864403638,0.2181753411112561,0.0228609090055467,0.0097544499778337,0.25,-0.002946111057928625,0.10271556169137067,0.008584247869882456,0.010359435941463406
43,0.035886150085227,0.5210615900959175,0.0135163047565157,0.010064384590088,0.1,-0.0180690507335052,0.3905119190458448,0.0008460459642859,0.0111346249980109,0.15,-0.0007033553676014,0.2781252052618583,0.0026824608271738,0.0101892869237342,0.5,-0.0063109797457836,0.248040355302856,0.0135621007596724,0.0097424004541675,0.25,-0.0010511652217496802,0.31175563832311165,0.006210292973799455,0.01020687578411941
44,0.0354509784446055,0.5138269007420737,0.0228430197560957,0.0099361539770482,0.1,-0.0019397393948323,0.3841397485203566,0.014853295140734,0.0110758992032363,0.15,0.0036503656360836,0.4281016289410573,-0.003592302586223,0.0095386852040336,0.5,0.0052299864403638,0.2182415943807152,0.0121681899785996,0.0095006251610286,0.25,0.006386816363368455,0.3776148654179683,0.00575819244825807,0.009799499170464215
45,0.0172030957857143,0.0486565558067537,-0.003113695884813,0.0099226557423388,0.1,0.0077660982552778,0.3018817299085237,0.0003610541147283,0.010501852595102,0.15,0.0191804729738532,0.4307377954812761,0.0368168656544404,0.0094577372986779,0.5,-0.0006456763530432,0.2436013119826405,0.0120152746064824,0.009381539540061,0.25,0.012314041715528901,0.3264171408032521,0.021155040007568744,0.009641796997853381
46,-0.0222903535526605,0.3841946637856814,0.0007374058119043,0.0090912084000476,0.1,0.0285388895849401,0.489302095888668,0.0026464669257112,0.0102018878352776,0.15,0.0089751289664598,0.3342974146470263,0.007025017613603,0.0094405904120226,0.5,0.0126040835100519,0.4595539303592266,0.056877063554122,0.0092817454797845,0.25,0.00969038344321784,0.3938519706751882,0.01820248531537911,0.009480135591253824
47,-0.0021977096463547,0.0717927913245812,-0.0033558439438758,0.0090806751716618,0.1,-6.284493614274267e-05,0.416451278292492,-0.0009355553340517,0.0099267433903715,0.15,-0.0068924361001248,0.2436770451732366,0.0023385812427863,0.0092628702641525,0.5,-0.0063109797457836,0.248040355302856,0.0171217073633342,0.0089631563042531,0.25,-0.005253160691565182,0.25349558228866426,0.004973799767731365,0.00926930323386143
48,0.0172030957857143,0.0486855259286524,-0.0040361623482347,0.0087385608922725,0.1,0.023237945460381,0.3625081253634987,0.0010302249458401,0.009842371188653,0.15,0.0192842997594193,0.4308397040169573,0.0012241403309492,0.0091771308471934,0.5,-0.0229178407614344,0.0679270185383087,0.0034772494971052,0.008651750849416,0.25,0.00911869108697963,0.2916463780404459,0.001232300046803445,0.0091017149034759
